,Genre,ID,popularity,is_exp,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
85,rnb,6hR9oWhCZcH5Pgp8hwOjsT,69,False,Jill (Sumn Real),Trey Songz,0.337,0.461,10,-9.195,0,0.218,0.146,0.0,0.409,0.354,85.419,4
86,rnb,1CVAENDG5VY05pEHh0ViXL,77,True,Shea Butter Baby (with J. Cole),Ari Lennox,0.702,0.614,0,-4.385,1,0.0786,0.134,0.00391,0.173,0.047,155.173,4
87,rnb,5ym4GENsMc7VbZVYyulq84,70,False,Roll Some Mo,Lucky Daye,0.405,0.508,11,-9.028,1,0.0596,0.258,0.0479,0.142,0.371,74.701,4
88,rnb,1DUSuNhF8P5vUGNPpQiZa5,91,False,My Bad,Khalid,0.645,0.568,5,-9.127,0,0.0823,0.543,0.266,0.257,0.391,84.999,4
89,rnb,47OqtEbWGkG6eDNGUNCYYB,73,False,Hard Place,H.E.R.,0.614,0.719,9,-4.694,1,0.0955,0.179,1.72e-05,0.163,0.34,160.075,4
90,rnb,2R5KZv6CUXUbC6s3Q3tbcd,64,False,Love Cycle,Taliwhoah,0.869,0.306,1,-11.391,0,0.047,0.141,0.0169,0.222,0.534,119.986,4
91,rnb,11UsaZi96OOQ5nbWLht4UP,59,True,Close,BJ The Chicago Kid,0.54,0.522,5,-8.063,0,0.0757,0.663,0.0,0.336,0.318,80.928,4
92,rnb,2GlATHCDbLW7xq5BE0Bz5g,79,True,Shot Clock,Ella Mai,0.512,0.512,4,-6.008,0,0.285,0.654,0.0,0.148,0.434,95.11,1
93,rnb,7Ib4RCXifUuvx9JeyjLSJP,57,True,Do Not Disturb - Leven Kali Remix,Mahalia,0.693,0.656,0,-4.254,0,0.0305,0.232,0.0,0.0602,0.502,98.936,4
94,rnb,1NlWBpNYAnFT7gMGyC0Y1M,65,True,Sandstorm (feat. JID),Mereba,0.637,0.512,2,-10.027,1,0.0978,0.59,0.000464,0.0712,0.33,109.492,5
95,rnb,2sTeopW9eWJkEQhOnRmfB9,52,False,Can We,Phonte,0.445,0.583,0,-10.219,0,0.0535,0.688,0.0079,0.0614,0.298,94.764,4
96,rnb,479acVfQ74icOy772hE1ba,66,True,Fight for You,Rico Love,0.532,0.473,7,-5.934,1,0.0438,0.0756,7.83e-06,0.111,0.167,100.168,4
97,rnb,5dXI2NV7X2c4anyLFbQdEX,79,False,Honesty,Pink Sweat$,0.616,0.204,6,-11.421,0,0.0331,0.919,0.0,0.106,0.419,79.826,4
98,rnb,6OLlACmD4AlW2N7CWVhVxO,63,False,Say So (feat. JoJo),PJ Morton,0.502,0.409,0,-7.581,1,0.0512,0.591,0.0,0.113,0.234,75.231,4
99,rnb,5z9SJ1K7B7cSlnmNp3DMjV,61,True,Automatic,The Bonfyre,0.642,0.534,10,-5.115,0,0.286,0.192,0.0,0.215,0.554,169.779,4
100,rnb,3fUaqg2fk3Zblhg4FJiwL7,52,False,Either Way.,Phony Ppl,0.536,0.593,8,-7.32,1,0.0298,0.553,1.19e-05,0.168,0.481,104.827,3
101,rnb,6iNIJ2KAORey3ziLBS5l73,55,False,Real Something (feat. ESTA.),Rayana Jay,0.529,0.449,0,-8.005,0,0.0426,0.76,2.5e-06,0.0954,0.37,80.776,3
102,rnb,5hVAAy6wwyvxPiFaJPNzzV,59,False,That's What Love Can Do,Robin Thicke,-100000.0,-100000.0,-100000,-100000.0,-100000,-100000.0,-100000.0,-100000.0,-100000.0,-100000.0,-100000.0,-100000
103,rnb,3wu4aCttt6vm97RR8xYQey,52,False,Back Around,Ej Jackson,-100000.0,-100000.0,-100000,-100000.0,-100000,-100000.0,-100000.0,-100000.0,-100000.0,-100000.0,-100000.0,-100000
104,rnb,4k6hX9RKD096K1NCjjJZLc,72,False,Footsteps (feat. Musiq Soulchild),Kehlani,-100000.0,-100000.0,-100000,-100000.0,-100000,-100000.0,-100000.0,-100000.0,-100000.0,-100000.0,-100000.0,-100000
105,rnb,0deHsjyrgcKGMZzIuvawq3,71,False,Dreams,Solange,-100000.0,-100000.0,-100000,-100000.0,-100000,-100000.0,-100000.0,-100000.0,-100000.0,-100000.0,-100000.0,-100000
106,rnb,7hgwihI7de0gUQk5lSgMKW,57,False,That Magic,India.Arie,-100000.0,-100000.0,-100000,-100000.0,-100000,-100000.0,-100000.0,-100000.0,-100000.0,-100000.0,-100000.0,-100000
107,rnb,3cG8tYNtNQiJ3YvpwRXPld,52,False,Loverboy,Tash,-100000.0,-100000.0,-100000,-100000.0,-100000,-100000.0,-100000.0,-100000.0,-100000.0,-100000.0,-100000.0,-100000
108,rnb,7u3sSqvILCIQL3nmIBkP7Q,59,False,Come Over Here,Jacob Latimore,-100000.0,-100000.0,-100000,-100000.0,-100000,-100000.0,-100000.0,-100000.0,-100000.0,-100000.0,-100000.0,-100000
109,rnb,6gx8YAvoqFT93HRwMqBOM5,66,False,Don't Come Easy,Raheem DeVaughn,0.68,0.381,11,-10.084,0,0.225,0.862,3.72e-06,0.0985,0.215,71.448,4
110,rnb,5toSnLJgSEwlnNzq61t63x,63,False,40 Shades of Choke,Ari Lennox,0.733,0.508,5,-7.962,1,0.461,0.619,0.00452,0.0491,0.867,104.62,4
111,rnb,4LfoYkTuIPgJ2RlNkN5P5C,70,True,EX - Remix,Kiana Ledé,0.775,0.537,0,-6.978,1,0.141,0.326,0.0,0.0792,0.403,73.484,4
112,rnb,6lzLjIOyWTyTJvk0jraYee,79,False,Could've Been (feat. Bryson Tiller),H.E.R.,0.545,0.33,1,-11.719,0,0.164,0.64,7e-06,0.22,0.399,103.553,4
113,rnb,6cZ7aS2UC3hfUyqJhwHb4G,68,True,Grave,Summer Walker,0.653,0.468,1,-12.101,1,0.0572,0.0504,7.9e-05,0.372,0.199,96.931,4
114,rnb,1cPBPL1FlwRM7mYXixVmJB,65,True,Thursday,Leven Kali,0.314,0.399,5,-9.199,1,0.0501,0.692,0.00419,0.11,0.302,169.525,4
115,rnb,7zaF4efY1N7opI2VRYUtjt,64,False,I Know,Pink Sweat$,0.732,0.322,8,-10.172,0,0.0625,0.785,9.12e-06,0.103,0.428,114.977,4
116,rnb,7mHRoiESmvHd4UIDr3a1xq,63,False,What You Heard,Sonder,0.429,0.371,2,-9.017,0,0.0327,0.546,5.71e-06,0.104,0.135,137.134,4
117,rnb,6MkQb4AuZ28zJPPMyfCplO,62,True,Break on Monday,Ryan Trey,0.425,0.331,6,-9.099,1,0.0458,0.852,3.64e-05,0.0971,0.104,100.884,4
118,rnb,5Cp7mTA2Piq65qWi8h71Q5,61,False,Get into the Party Life,LION BABE,0.734,0.732,5,-6.054,0,0.0295,0.00377,0.209,0.106,0.515,140.021,4
119,rnb,41v7qDGXurEGgkMQWOk7hP,65,True,MUSHROOM CHOCOLATE (with 6LACK),QUIN,0.728,0.547,10,-5.165,0,0.0566,0.764,4.37e-05,0.0886,0.535,147.897,4
120,rnb,3myKrRi0ZXU9pRfGgpUCTj,70,False,The One - Radio Edit,Jorja Smith,0.482,0.714,0,-7.689,0,0.0518,0.204,0.000239,0.0973,0.536,82.019,4
121,rnb,4eTpR71VWfTee42OKPaQcz,51,True,See Me,Melii,0.44,0.575,4,-7.53,0,0.29,0.51,0.0,0.176,0.215,169.893,4
