,Genre,ID,popularity,is_exp,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
797,pop,4A3yBa4C3Zy6UAGxIyv1XD,65,False,Only in the West,Yeek,0.954,0.535,7,-6.508,1,0.0724,0.07,0.0478,0.142,0.614,116.954,4
798,pop,7oJmIBxEAYjfkS7lhZ7M1S,60,False,Sometimes,Goth Babe,0.445,0.563,7,-8.904,1,0.0315,0.105,0.000271,0.179,0.204,94.978,4
799,pop,0ei1p9fo1iwtmAGh11BYI3,50,False,homestead,slenderbodies,0.648,0.452,8,-8.716,0,0.0309,0.94,0.106,0.884,0.125,99.446,3
800,pop,1xda2R5cSP7GKlqXY3Pji2,48,False,Scarlett,Claud,0.758,0.506,0,-8.788,1,0.0359,0.153,0.0126,0.164,0.687,129.935,4
801,pop,0sHFw13WH3LtSB3yP8UMYJ,73,False,Falling for U,Peachy!,0.516,0.358,8,-12.018,0,0.424,0.741,1.34e-06,0.0813,0.397,79.509,4
802,pop,4rcBgGdnnplqvHgjKMk1gL,52,False,Garden,Grady,0.729,0.576,8,-5.762,1,0.135,0.124,0.0,0.16,0.327,144.935,4
803,pop,4yp90BbE4dxPXfGGSpbFwT,63,False,Drowsy,Banes World,0.599,0.186,8,-16.231,0,0.0315,0.956,0.00665,0.119,0.415,127.093,3
804,pop,1F6IbA7di42uPc3cff8PXV,75,False,Flaming Hot Cheetos,Clairo,0.817,0.551,7,-9.33,0,0.133,0.865,0.000151,0.101,0.142,109.966,4
805,pop,5b5wCUEao71E5iME5fPl93,47,False,Never Meant To Call,Claud,0.711,0.653,5,-8.224,1,0.054,0.17,0.0142,0.0985,0.697,75.006,4
806,pop,3RNHSxHnAIdMAHtMsVNqlS,55,True,Cleaner Air,Yeek,0.72,0.772,7,-5.48,1,0.0335,0.868,0.000635,0.0696,0.884,77.493,4
807,pop,3PI9d61o3VO504SUAKw2cO,56,False,Georgie,Temporex,0.791,0.339,2,-14.807,1,0.0331,0.227,0.0212,0.176,0.657,100.02,4
808,pop,0jQlU4iPRzcwthBTRqXBzh,45,False,You Will Fill My Head,wwoman,0.592,0.559,4,-6.298,0,0.0308,0.383,0.0925,0.337,0.121,97.998,4
809,pop,7j7lh4awlX5wI90tgnpfet,48,False,Bruise Cruise,Puma Blue,0.639,0.377,1,-9.206,0,0.101,0.165,0.094,0.105,0.209,126.228,4
810,pop,7mLIL4OdNdwFcGNlTcWa0c,65,False,Talk to Me,Cavetown,0.626,0.323,4,-9.607,1,0.0339,0.667,0.0,0.0605,0.234,130.086,4
